job_id,student_id,job_positions,skills,education_performance,work_experience_titles,work_experience_descriptions
66ab4d4048d56b5c88ddbf4f,662cb388cdfa8ca5046a8448,"['HR Recruiter', 'Human Resources Assistant - Entry', 'Hospitality Human Resources Manager']","['Recruitment', 'Offboarding', 'Communication Skills', 'Creative Problem Solving', 'Organization Skills', 'Strategic Thinking']",5.0,['Human resource intern'],"['Assisted in the recruitment and selection process by analyzing resumes, conducting initial screenings, and scheduling interviews\nSupported in the onboarding process by preparing new hire documentation and coordinating orientation sessions\nContributed to the development and implementation of employee policies and procedures\nParticipated in employee engagement initiatives by organizing team-building activities and events\nAssisted in performance management activities such as tracking employee goals, conducting performance evaluations, and providing feedback\nSupported in handling employee relations issues by conducting investigations and resolving conflicts\nContributed to the planning and execution of training and development programs for employees\nAssisted in maintaining employee records and updating HR databases\nHelped in researching and analyzing HR trends and best practices\nSupported the HR team with various administrative tasks and projects']"
66ab4d4048d56b5c88ddbf4f,661fdfae717f90013aeb1c12,"['Sales and Marketing Manager', 'Sales Officer', 'IT Analyst', 'Business Intelligence Analyst', 'Information Security Analyst']","['Networking', 'Communication', 'Client Communication', 'Lead Generation', 'Project Management', 'SQL', 'Data Structures', 'Time Management', 'Object-Oriented Programming', 'Corporate Social Responsibility', 'Corporate Governance', 'Business development strategies', 'Human Resources Management', 'Digital marketing and social media', 'Microsoft Excel', 'java']",7.02,['Information Security Analyst'],"[""Conducted regular security assessments to identify vulnerabilities and ensure compliance with industry standards.\nDeveloped and implemented effective information security policies and procedures to protect company data.\nPerformed risk assessments to evaluate potential security threats and recommended necessary measures for mitigation.\nCollaborated with cross-functional teams to design and implement strong security controls.\nAnalyzed and responded to security incidents, conducting investigations, and reporting findings.\nProvided training and awareness programs to educate employees on information security best practices.\nAssisted in the development and maintenance of disaster recovery and business continuity plans.\nConducted penetration testing to assess the security of the company's systems and networks.\nDesigned and implemented secure network architecture and configurations.\nMonitored and analyzed security logs and alerts for potential security breaches.\nParticipated in security audits and ensured compliance with regulatory requirements.\nStayed up-to-date with the latest security trends, technologies, and threats to proactively address potential risks.\nCollaborated with external vendors and partners to enhance overall security posture.\nAssisted in incident response activities, including containment, eradication, and recovery.\nDeveloped and maintained security documentation, including policies, standards, and procedures.""]"
66ab4d4048d56b5c88ddbf4f,665ebb2c0c81e87a3aabea14,"['Hospitality Human Resources Manager', 'Human Resources Assistant - Entry', 'Marketing Manager', 'HR Coordinator']","['Negotiation', 'Excellent organizational and time management skills', 'Knowledge of HR policies and procedures', 'Ability to work independently and as part of a team', 'Project management', 'Customer Relationship Management', 'Human Resources Management', 'Customer service skills']",6.53,['HR Coordinator'],"['Assisted the HR Manager in executing various HR functions and processes.\nCoordinated recruitment activities including job posting, screening of resumes, and scheduling interviews.\nMaintained accurate employee records and updated HR databases.\nAssisted in the onboarding process of new employees, including conducting orientation sessions and preparing necessary paperwork.\nImplemented and monitored employee performance evaluation programs.\nManaged employee benefits programs and ensured timely processing of employee benefit claims.\nHandled employee relations matters and supported conflict resolution processes.\nUpdated and enforced company policies and procedures, ensuring compliance with legal regulations.\nArranged and conducted employee training and development programs.\nAssisted in organizing company events and employee engagement activities.\nMaintained confidentiality of sensitive HR information and records.\nPrepared HR reports and presentations for management review.\nResponded to employee inquiries and provided guidance on HR-related matters.\nCollaborated with other departments to improve HR processes and communication within the organization.\nStayed up-to-date with changes in employment laws and regulations, ensuring company compliance.']"
66ab4d4048d56b5c88ddbf4f,662bef8acdfa8ca5046a843b,"['Finance Manager', 'Investment Banker', 'Marketing Manager']","['Team Management', 'Accuracy', 'Communication', 'Leadership Skills', 'Accounting', 'Basic Computer Skills', 'Microsoft Excel', 'Budgeting and Financial Analysis', 'Decision Making', 'Financial Analysis', 'Collaboration', 'Data analysis', 'Negotiation Skills']",6.5,"['Auditing', 'Financial Analyst']","['During my one-month internship at SRRK Sharma Associates, I had the invaluable opportunity to gain practical experience in financial auditing and compliance. I actively participated in conducting financial audits for diverse clients, where I honed my skills in:\n\nPerforming risk assessments and identifying internal control weaknesses to ensure financial integrity.\nAssisting in the meticulous planning and execution of audit procedures to meet regulatory requirements.\nPreparing and meticulously reviewing financial statements and reports to ensure accuracy and compliance.\nExamining and analyzing accounting records and documentation to detect discrepancies and ensure transparency.\nAssessing compliance with relevant laws, regulations, and standards to uphold ethical and legal standards.\nEvaluating the effectiveness of financial systems and processes to optimize organizational efficiency.\nCommunicating audit findings and recommendations clearly and effectively to management for informed decision-making.\nCollaborating closely with team members to complete audit engagements efficiently and meet deadlines.\nParticipating in client meetings and providing expert guidance on financial matters to enhance client satisfaction and trust.\nThis internship experience not only deepened my understanding of financial auditing principles but also enriched my industry knowledge, preparing me for future challenges and opportunities in the field of finance and accounting.', 'During my two-month internship as a Financial Analyst at Website Makers Company, I gained valuable hands-on experience in financial data analysis, budgeting, and strategic planning. I conducted detailed analyses of financial statements, prepared budgets and forecasts, and generated reports for senior management, providing insights into the company’s financial health. This role enhanced my analytical skills, particularly in interpreting complex financial data and identifying key performance trends. I also improved my technical proficiency with Excel and financial software, managing large datasets and ensuring data accuracy. Additionally, I conducted market research and competitor analysis to support strategic decisions, thereby understanding industry benchmarks and best practices. This internship has significantly broadened my understanding of financial operations within the digital marketing and web development sector.']"
66ab6695e8905e0940089c74,649335e0312fbad6c1ea0e75,"['Account Executive', 'Software Engineer']","['Academic Policies', 'Interpersonal Skills', 'Game Networking', 'RF Documentation', 'Data Management', 'PLC Programming', 'Email Communication', 'IT Security', 'UI/UX Design', 'Analytical Thinking', 'Problem-solving', 'Cloud computing', 'Portion Control', 'Operating Systems', 'Collaboration', 'Debugging', 'RF Testing', 'Object-Oriented Programming', 'Creativity', 'Presentation skills', 'Lead Generation', 'Analytical Skills', 'Market research', 'Customer Relationship Management (CRM)', 'Closing deals']",8.0,['Software Developer'],['1. Developed software applications for Tata Motors\n2. Designed and implemented scalable and efficient software solutions for the company\n3. Collaborated with other team members to identify and resolve software issues\n4. Participated in code reviews and made necessary improvements to ensure code quality\n5. Maintained and updated existing software applications to ensure maximum performance and stability\n6. Conducted training sessions for new software developers and explained existing applications and code structures\n7. Developed and implemented software development best practices and methodologies within the company\n8. Conducted research and analysis of industry trends and technologies to identify potential improvements for software development at Tata Motors\n9. Communicated with stakeholders to understand their business requirements and worked collaboratively to develop software solutions to meet those needs\n10. Contributed to the overall development and success of Tata Motors through dedication and hard work']
66ab4d4048d56b5c88ddbf4f,667401ae5524ac05785e87e9,[],"['Client Communication', 'Recruitment and Selection', 'Verbal Communication', 'Written Communication', 'Presentation Skills', 'Power Point', 'Training and Development', 'Client Management', 'Conflict Resolution', 'Organizational Development', 'HR Policies and Procedures', 'Performance Management', 'Client Interaction', 'Strategic HR Planning', 'Employee Relations', 'Human Resources', 'Microsoft Office', 'Microsoft Office Suite', 'Labor Laws and Compliance', 'Compensation and Benefits']",7.26,"['Tele caller ', 'Talent Acquisition Specialist ']","['Conducted outbound calls to potential clients to provide information about foreign education opportunities\nAssisted students in selecting suitable courses and universities based on their preferences and academic background\nAnswered queries related to admission procedures, document requirements, and visa application processes\nProvided guidance on scholarship opportunities and financial aid options available to students\nMaintained a database of potential clients and recorded call logs for future reference\nFollowed up with prospective clients to provide additional information and address any concerns\nParticipated in training sessions to enhance product knowledge and improve communication skills\nProvided feedback on customer preferences and market trends to assist in developing targeted marketing strategies\nContinuously updated knowledge about international education systems, universities, and immigration policies\nEnsured compliance with company policies and maintained confidentiality of client information\nHandled escalations and resolved customer complaints in a professional and efficient manner\nContributed to a positive and vibrant work environment by actively participating in team-building activities\nDeveloped strong interpersonal skills by interacting with clients from diverse cultural and educational backgrounds', 'Implemented innovative recruitment strategies to attract top talent\nStreamlined the talent acquisition process by introducing automated tools and systems\nCollaborated with managers to identify skills gaps and facilitated targeted training programs\nEvaluated performance management processes and recommended improvements for more effective results\nParticipated in talent market research to stay updated with industry trends and competitor analysis\nProvided coaching and mentorship to employees for their professional growth\nConducted exit interviews to gather feedback and identify potential areas of improvement']"
66ab4d4048d56b5c88ddbf4f,661ff34034fda61b0e9f1e26,"['Accountant', 'Finance Manager', 'Asst. Manager - Investment']","['Customer Relationship Management', 'Administrative Tasks', 'Adaptability', 'International Taxation', 'Ability to manage a group', 'Problem-solving', 'Communication Skills', 'Financial analysis']",7.79,"['Tax executive ', 'Finance executive ']","[""Implemented new tax filing procedures for improved accuracy and compliance.\nAssisted in the preparation and filing of tax returns for clients, ensuring timely submission.\nConducted thorough research on tax laws and regulations to provide accurate advice to clients.\nCollaborated with cross-functional teams to address tax-related queries and provide comprehensive solutions.\nParticipated in audits and resolved any tax-related discrepancies or issues identified.\nAssisted in the development of tax strategies to minimize clients' tax liabilities and maximize savings.\nPrepared and reviewed financial statements to ensure accuracy in tax reporting.\nManaged and maintained records of tax-related documents and transactions in an organized manner.\nStayed updated with the latest tax laws and regulations, attending training programs and seminars.\nAssisted in implementing efficient tax software and tools to streamline tax processes.\nContributed to the development and improvement of internal tax policies and procedures.\nCollaborated with external tax consultants to ensure compliance with local and international tax regulations.\nProvided support in tax planning activities for clients, including tax projections and estimations for future periods.\nAssessed and analyzed financial data to identify tax-saving opportunities and optimize tax planning strategies.\nAssisted in negotiating with tax authorities to resolve any disputes or issues.\nSupported the finance team in conducting internal audits to ensure compliance with tax laws and regulations.\nAssisted in training and mentoring junior tax executives to enhance their knowledge and skills.\nParticipated in regular meetings and discussions to provide insights and updates on tax-related matters.\nCollaborated with the legal team to review and draft tax-related contracts and agreements.\nAdhered to ethical standards and confidentiality requirements in handling sensitive tax information.""]"
66ab4d4048d56b5c88ddbf4f,6631fe63cdfa8ca5046a858c,"['Finance Manager', 'HR Coordinator', 'Financial Analyst', 'HR Recruiter', 'HR Executive']","['Data Management', 'Problem-solving', 'Communication Skills', 'Financial analysis']",7.79,['Tax Executive'],['Worked as Tax Intern for 4 months for Canadian Clients.']
66ab7996f5f946f7b5440784,654dcb6c11bb614bfbc2daa3,"['Software Engineer', 'Front-End Developer', 'Back-End Developer', 'Full Stack Developer', 'Mobile App Developer']","['Software engineering principles', 'Operating systems', 'Database management systems (e.g., SQL, NoSQL)', 'Algorithms and Data Structures', 'JavaScript', 'Back-end Frameworks (e.g., Node.js, Django)', 'MongoDB', 'Firebase', 'Python', 'java', 'C/C++', 'Backend Development', 'API Testing', 'API Development', 'Android Studio', 'Android Development', 'Object-Oriented Programming', 'Problem-solving', 'Agile Methodology', 'Data Structures', 'Software Development']",8.89,"['Full Stack Developer', 'Full Stack Developer']","['• Developed a mobile application to streamline cultural contest organization, resulting in a 50% reduction in administrative tasks and a 30% increase in contestant satisfaction.\n• Led front-end development efforts using Flutter framework, resulting in a 40% increase in app loading speed and enhanced user experience.\n• Contributed to back-end and database components, optimizing data retrieval time by 50% and improving overall system performance.', '• Collaborated in a team to develop Golaah, an app for item recycling and reuse, using Flutter, Dart, Firebase, and Node.js, enhancing app performance by 30%.\n• Developed key features, refining the codebase, and integrating Firebase Analytics, resulting in 40% faster load times and a 20% increase in user retention.\n• Improved item recycling and reuse functionality, increasing active users by 35% and app downloads by 50%']"
66ab4d4048d56b5c88ddbf4f,662e7b4bcdfa8ca5046a8493,"['Human Resources Manager', 'HR Executive', 'Finance Manager']","['Leadership and Team Management', 'Decision-making', 'Multitasking', 'Ability to manage a group', 'Analytical Skills', 'Human Resources Management', 'Negotiation Skills', 'HR Consulting', 'HR Analytics', 'Ability to handle difficult situations', 'Budget management', 'Active Listening']",6.65,['H R Intern'],"['Implemented employee engagement initiatives to improve office morale\nDeveloped and conducted training programs on HR policies and procedures for new hires\nCollaborated with management to create and implement performance evaluation system\nStreamlined the recruitment process to reduce time and cost per hire\nDeveloped and maintained relationships with external recruitment agencies\nCreated and updated job descriptions and specifications\nAssisted in the development and implementation of HR policies and procedures\nManaged employee onboarding and offboarding processes\nAdministered employee benefits and ensured compliance with relevant regulations\nHandled employee relations issues and provided guidance to employees\nManaged HR database and maintained accurate employee records\nAssisted in the planning and execution of company events and team-building activities\nConducted exit interviews and analyzed feedback to identify areas for improvement\nStayed updated on labor laws and ensured company compliance\nSupported management in resolving employee conflicts and disciplinary matters\nHandled payroll processing and maintained confidentiality of employee information\nParticipated in strategic planning and provided HR insights and recommendations\nServed as a liaison between employees and management, addressing concerns and facilitating communication\nManaged employee performance tracking and conducted performance appraisals\nImplemented employee recognition programs to reward and motivate employees']"
